action,feature,importance
vasopressor,age,0.42013088243285207
vasopressor,comorbidity_count,0.38071686119885956
vasopressor,drg_severity,0.06408248113135291
vasopressor,drg_mortality,0.07585160544049054
vasopressor,gender_m,0.05921816979644479
antibiotic,age,0.41470896291252535
antibiotic,comorbidity_count,0.38112131274497535
antibiotic,drg_severity,0.06938359760667856
antibiotic,drg_mortality,0.07474145242136379
antibiotic,gender_m,0.0600446743144571
fluid_bolus,age,0.5109172235425762
fluid_bolus,comorbidity_count,0.26248236691129434
fluid_bolus,drg_severity,0.06900845965153923
fluid_bolus,drg_mortality,0.07959156717082116
fluid_bolus,gender_m,0.07800038272376911
diuretic,age,0.4385869253185541
diuretic,comorbidity_count,0.3420161014603695
diuretic,drg_severity,0.06723725351365933
diuretic,drg_mortality,0.10660113597678411
diuretic,gender_m,0.045558583730633095
steroid,age,0.39201349992965046
steroid,comorbidity_count,0.37990081635900186
steroid,drg_severity,0.08159204676904407
steroid,drg_mortality,0.1039401982140417
steroid,gender_m,0.04255343872826192
anticoagulant,age,0.3632831296981202
anticoagulant,comorbidity_count,0.27917848686820834
anticoagulant,drg_severity,0.07024617839394182
anticoagulant,drg_mortality,0.2471913708692371
anticoagulant,gender_m,0.04010083417049259
insulin,age,0.4764103099832735
insulin,comorbidity_count,0.3214973372615185
insulin,drg_severity,0.07183519597402428
insulin,drg_mortality,0.0796256295554691
insulin,gender_m,0.050631527225714616
