step,avg_mae_all_vars
1,1.8362488528300094
2,1.8828945972442466
3,1.8873880192468289
4,1.8468466482611667
5,1.8624122863771273
6,1.9012370072391325
7,1.92196927540979
8,1.9199907769419489
9,1.8733346880822281
10,1.8921559638820622
11,1.8776052551025775
12,1.9171613506814709
13,1.9485821440971403
14,1.9654573976869743
15,1.9809356094203459
16,1.9156148238679802
17,1.8900825097031002
18,1.910917754164015
19,1.8979932588049593
20,1.9172898615117646
21,1.8880140789226332
22,1.9032956992939378
23,1.9469323351125112
24,1.9074066883134209
