step,variable,mae,n
1,heart_rate,5.4136850216569865,2408
1,arterial_bp_mean,5.183915519482303,1097
1,respiratory_rate,7.357360432789523,2408
1,spo2,1.0814392251077682,2408
1,temperature_f,0.3285118159461111,2382
1,gcs_total,0.4427715747285594,2405
1,lactate,0.5745965847692649,200
1,creatinine,0.10939909487396698,1048
1,bun,1.4858577395382306,1047
1,wbc,0.7770101815567007,961
1,hemoglobin,0.17807379234007742,966
1,bicarbonate,0.320311119302252,1034
1,glucose_lab,6.751607519395424,1028
1,potassium,0.0533978132746784,1072
1,sodium,0.5596545251891232,1078
1,anion_gap,0.23478741006230208,1034
1,albumin,0.060741291386188764,147
1,platelets,5.648196629763332,967
1,bilirubin_total,0.12896346245311205,276
1,magnesium,0.03469630298428459,1021
2,heart_rate,5.398198880189489,2408
2,arterial_bp_mean,5.481474739239403,1097
2,respiratory_rate,8.119390146485134,2408
2,spo2,0.9767668901305181,2408
2,temperature_f,0.3518585796607511,2382
2,gcs_total,0.44448251121993965,2405
2,lactate,0.5651142245421206,200
2,creatinine,0.11011916832700293,1048
2,bun,1.4887710383590658,1047
2,wbc,0.7837852833398776,961
2,hemoglobin,0.17792421165467864,966
2,bicarbonate,0.31876048167294013,1034
2,glucose_lab,6.715331059755239,1028
2,potassium,0.05320299418037424,1072
2,sodium,0.5578070083520567,1078
2,anion_gap,0.23786647761230462,1034
2,albumin,0.06112969911123224,147
2,platelets,5.650998927348406,967
2,bilirubin_total,0.1302079995970088,276
2,magnesium,0.03470162410739013,1021
3,heart_rate,5.362422996908203,2408
3,arterial_bp_mean,5.563576492949738,1097
3,respiratory_rate,8.144675258395658,2408
3,spo2,1.0024097508991263,2408
3,temperature_f,0.35108329117737547,2382
3,gcs_total,0.43676549020212724,2405
3,lactate,0.5673763515114848,200
3,creatinine,0.11160119286997507,1048
3,bun,1.476506508657563,1047
3,wbc,0.7811111500354924,961
3,hemoglobin,0.17976057496979617,966
3,bicarbonate,0.32149575156416743,1034
3,glucose_lab,6.750762333295867,1028
